"state","sector","count","ranking"
"Oklahoma","Oil, Gas, Energy & Utilities","1","1"
"Oklahoma","Business Services","1","1"
"Oregon","Information Technology","2","1"
"Pennsylvania","Health Care","2","1"
"Pennsylvania","Biotech & Pharmaceuticals","2","1"
"Pennsylvania","Business Services","2","1"
"Pennsylvania","Retail","1","2"
"Pennsylvania","Finance","1","2"
"Pennsylvania","Education","1","2"
"Rhode Island","Biotech & Pharmaceuticals","1","1"
"South Carolina","Biotech & Pharmaceuticals","1","1"
"South Carolina","Finance","1","1"
"Tennessee","Finance","2","1"
"Tennessee","Health Care","1","2"
"Tennessee","Manufacturing","1","2"
"Tennessee","Government","1","2"
"Tennessee","Aerospace & Defense","1","2"
"Texas","Business Services","6","1"
"Texas","Information Technology","3","2"
"Texas","Education","1","3"
"Texas","Accounting & Legal","1","3"
"Texas","Health Care","1","3"
"Texas","Transportation & Logistics","1","3"
"Texas","Insurance","1","3"
"USA","Information Technology","3","1"
"USA","Manufacturing","2","2"
"USA","Finance","1","3"
"USA","Business Services","1","3"
"USA","Aerospace & Defense","1","3"
"Utah","Finance","2","1"
"Utah","Aerospace & Defense","1","2"
"Virginia","Information Technology","21","1"
"Virginia","Aerospace & Defense","16","2"
"Virginia","Business Services","11","3"
"Virginia","Government","5","4"
"Virginia","Finance","2","5"
"Virginia","Oil, Gas, Energy & Utilities","1","6"
"Virginia","Manufacturing","1","6"
"Virginia","Biotech & Pharmaceuticals","1","6"
"Virginia","Non-Profit","1","6"
"Washington","Business Services","3","1"
"Washington","Oil, Gas, Energy & Utilities","3","1"
"Washington","Information Technology","2","2"
"Washington","Finance","1","3"
"Washington","Health Care","1","3"
"West Virginia","Business Services","1","1"
"Wisconsin","Insurance","2","1"
"Wisconsin","Retail","1","2"
"Wisconsin","Health Care","1","2"
"Wisconsin","Manufacturing","1","2"
"","Information Technology","4","1"
